#data
28.0,47.0,2019-06-27 09:39:45.156960
14.0,151.0,2019-06-27 09:39:45.721332
28.0,44.0,2019-06-27 09:39:46.260629
28.0,44.0,2019-06-27 09:39:46.810926
28.0,45.0,2019-06-27 09:39:52.407523
28.0,44.0,2019-06-27 09:39:52.959358
28.0,43.0,2019-06-27 09:39:53.498340
28.0,42.0,2019-06-27 09:39:56.576544
28.0,43.0,2019-06-27 09:39:57.128538
26.0,51.0,2019-07-04 16:45:11.309174
23.0,45.0,2019-07-04 16:45:14.377337
23.0,45.0,2019-07-04 16:45:14.920503
23.0,44.0,2019-07-04 16:45:15.463550
23.0,47.0,2019-07-04 16:50:55.909124
23.0,45.0,2019-07-04 16:51:01.517717
23.0,45.0,2019-07-04 16:51:02.066395
23.0,44.0,2019-07-04 16:51:02.611071
23.0,44.0,2019-07-04 16:51:03.156058
23.0,43.0,2019-07-04 16:51:06.229301
23.0,44.0,2019-07-04 16:51:06.774404
23.0,42.0,2019-07-04 16:51:09.847156
23.0,44.0,2019-07-04 16:51:10.396773
23.0,43.0,2019-07-04 16:51:10.942838
23.0,43.0,2019-07-04 16:51:11.488256
23.0,42.0,2019-07-04 16:51:12.033844
23.0,42.0,2019-07-04 16:51:12.579387
23.0,42.0,2019-07-04 16:51:13.124959
23.0,42.0,2019-07-04 16:51:13.670662
23.0,42.0,2019-07-04 16:51:14.216163
23.0,41.0,2019-07-04 16:51:14.761792
23.0,41.0,2019-07-04 16:51:15.307366
23.0,41.0,2019-07-04 16:51:15.869555
23.0,41.0,2019-07-04 16:51:16.420285
23.0,41.0,2019-07-04 16:51:16.967100
23.0,41.0,2019-07-04 16:51:17.512986
23.0,41.0,2019-07-04 16:51:18.065305
23.0,41.0,2019-07-04 16:51:18.617668
23.0,41.0,2019-07-04 16:51:19.169138
23.0,41.0,2019-07-04 16:51:19.720833
23.0,41.0,2019-07-04 16:51:20.271616
23.0,41.0,2019-07-04 16:51:20.822602
11.0,148.0,2019-07-04 16:51:21.394389
23.0,41.0,2019-07-04 16:51:21.947788
23.0,41.0,2019-07-04 16:51:22.499131
23.0,41.0,2019-07-04 16:51:23.050248
23.0,41.0,2019-07-04 16:51:23.601798
23.0,41.0,2019-07-04 16:51:24.153385
24.0,41.0,2019-07-04 16:51:24.704749
23.0,41.0,2019-07-04 16:51:25.256239
23.0,40.0,2019-07-04 16:51:25.807808
23.0,40.0,2019-07-04 16:51:26.359477
23.0,43.0,2019-07-04 16:51:31.966735
23.0,44.0,2019-07-04 16:51:32.523583
24.0,42.0,2019-07-04 16:51:33.076432
23.0,42.0,2019-07-04 16:51:33.628761
24.0,41.0,2019-07-04 16:51:34.180271
23.0,41.0,2019-07-04 16:51:34.731874
23.0,42.0,2019-07-04 16:51:35.283667
23.0,41.0,2019-07-04 16:51:35.836242
23.0,41.0,2019-07-04 16:51:36.387850
24.0,41.0,2019-07-04 16:51:39.467743
24.0,43.0,2019-07-04 16:51:40.022519
23.0,42.0,2019-07-04 16:51:40.576238
24.0,41.0,2019-07-04 16:51:41.128587
23.0,44.0,2019-07-04 16:51:49.263918
23.0,44.0,2019-07-04 16:51:49.818991
23.0,42.0,2019-07-04 16:51:50.374105
23.0,42.0,2019-07-04 16:51:50.931391
24.0,42.0,2019-07-04 16:51:51.484277
24.0,41.0,2019-07-04 16:51:52.036979
23.0,41.0,2019-07-04 16:51:52.588708
24.0,43.0,2019-07-04 16:51:53.140017
23.0,41.0,2019-07-04 16:51:53.692444
24.0,41.0,2019-07-04 16:51:54.244535
24.0,41.0,2019-07-04 16:51:54.798024
